Place ID	Place Name	Place Owner	Location	Longitude	Latitude
15745	"Culloden Castle" (former Hotel) including interior	Greater Geelong City	226 Latrobe Terrace GEELONG WEST, Greater Geelong City	144.3528560	-38.1451640
21458	"Dallimores Tea Room"	Greater Geelong City	23 High Street DRYSDALE, Greater Geelong City	144.5697500	-38.1741960
17434	"Delta House"	Greater Geelong City	14 Kooyong Road DRUMCONDRA, Greater Geelong City	144.3522470	-38.1354470
16186	"Duke of Wellington" Hotel (former) 	Greater Geelong City	281 Pakington  Street NEWTOWN, Greater Geelong City	144.3459040	-38.1522300
21358	"Dumbarton"	Greater Geelong City	6 Thomas Street GEELONG WEST, Greater Geelong City	144.3426890	-38.1427630
16551	"Edgecumbe" (now Geelong Workers' Club)	Greater Geelong City	12 Skene Street NEWTOWN, Greater Geelong City	144.3508010	-38.1482720
21541	"Edina"	Greater Geelong City	11 St Leonards Pde ST LEONARDS, Greater Geelong City	144.7171130	-38.1737120
18645	"Eudoxus", prefabricated iron house including interior	Greater Geelong City	34 Fenwick Street GEELONG, Greater Geelong City	144.3542400	-38.1485450
16493	"Eumeralla"	Greater Geelong City	35 Skene Street NEWTOWN, Greater Geelong City	144.3481570	-38.1481930
15346	"Eyethorne", residence	Greater Geelong City	35 Aphrasia Street NEWTOWN, Greater Geelong City	144.3418220	-38.1507780
21123	"Fernshaw", house including interior	Greater Geelong City	4 Western Beach GEELONG, Greater Geelong City	144.3553368	-38.1376014
21125	"Fernshaw", house including interior	Greater Geelong City	4  Western Beach GEELONG, GREATER GEELONG CITY	144.3553368	-38.1376014
21124	"Fernshaw", Residence	Greater Geelong City	4 Western Beach GEELONG, Greater Geelong City	144.3553368	-38.1376014
26543	"Flour Mill House"	Greater Geelong City	2 Atkins Street Fyansford, Greater Geelong City	144.3098410	-38.1408900
21453	"Fox Hut"	Greater Geelong City	52 Hardings Rd WALLINGTON, Greater Geelong City	144.5063020	-38.2405260
21742	"Frogmore", house and outbuildings	Greater Geelong City	425 Hamilton Highway FYANSFORD, Greater Geelong City	144.2840850	-38.1369160
17861	"Galashiels" Residence	Greater Geelong City	39 Villamanta Street GEELONG WEST, Greater Geelong City	144.3487670	-38.1460960
20610	"Glen Alvie"	Greater Geelong City	246 Ryrie Street GEELONG, Greater Geelong City	144.3633250	-38.1505460
21148	"Glenburnie" residence	Greater Geelong City	54 Western Beach GEELONG, Greater Geelong City	144.3571427	-38.1407232
20433	"Glendining House" Residence and Surgery	Greater Geelong City	6 Ryrie Street GEELONG, Greater Geelong City	144.3531070	-38.1476370
21690	"Glenpanyal" - Residence	Greater Geelong City	22 Glengate Street HAMLYN HEIGHTS, Greater Geelong City	144.3260160	-38.1162080
18903	"Golden Age", Hotel including interior - Now The Max	Greater Geelong City	2 Gheringhap Street GEELONG, Greater Geelong City	144.3593700	-38.1434970
16305	"Grantham"	Greater Geelong City	13 Retreat Road NEWTOWN, Greater Geelong City	144.3449830	-38.1502610
21296	"Greystanes", Residence	Greater Geelong City	2 Brassey Avenue HIGHTON, Greater Geelong City	144.3165610	-38.1781830
16495	"Hawthorne"	Greater Geelong City	39 Skene Street NEWTOWN, Greater Geelong City	144.3474880	-38.1481150
17471	"Hillhurst"	Greater Geelong City	29 Lawton Avenue GEELONG WEST, Greater Geelong City	144.3455980	-38.1387860
21880	"Honddu Villas", semi-detached villas including interior 	Greater Geelong City	43 McKillop Street GEELONG, Greater Geelong City	144.3564760	-38.1528040
21881	"Honddu Villas", semi-detached villas including interior 	Greater Geelong City	43 McKillop Street GEELONG, Greater Geelong City	144.3564760	-38.1528040
19658	"Honddu Villas", semi-detached villas including interior	Greater Geelong City	41 McKillop Street GEELONG, Greater Geelong City	144.3563680	-38.1527730
19660	"Honddu Villas", semi-detached villas including interior  	Greater Geelong City	43 McKillop Street GEELONG, Greater Geelong City	144.3564760	-38.1528040
15755	"Ingliston", Residence	Greater Geelong City	264 Latrobe Terrace NEWTOWN, Greater Geelong City	144.3521780	-38.1487010
21692	"Innisfail", house	Greater Geelong City	45 Cross Street BATESFORD, Greater Geelong City	144.2816200	-38.0926260
26512	"Jeancourt' residence	Greater Geelong City	34 Golf Links Road BARWON HEADS, Greater Geelong City	144.4876260	-38.2805860
15262	"Kainga"  Residence	Greater Geelong City	67 Aberdeen Street NEWTOWN, Greater Geelong City	144.3460920	-38.1468030
21675	"Kalimnar" Residence	Greater Geelong City	61- 65 Kensington Road LEOPOLD, Greater Geelong City	144.4652890	-38.1834820
16350	"Kanimbula"	Greater Geelong City	31 Roebuck Street NEWTOWN, Greater Geelong City	144.3492280	-38.1492480
15327	"Kelvin"	Greater Geelong City	11 Aphrasia Street NEWTOWN, Greater Geelong City	144.3447640	-38.1511290
15387	"Kent Cottage" Residence	Greater Geelong City	131 Aphrasia Street NEWTOWN, Greater Geelong City	144.3330130	-38.1497560
16248	"Kirrewur Court", Reception Centre	Greater Geelong City	77 Prospect Road NEWTOWN, Greater Geelong City	144.3452920	-38.1521690
15988	"Ky-e-Lah", Residence	Greater Geelong City	195 Noble Street NEWTOWN, Greater Geelong City	144.3337060	-38.1527180
15674	"Laburnum" Residence	Greater Geelong City	9 Elderslie Terrace NEWTOWN, Greater Geelong City	144.3281840	-38.1422870
21624	"Lake View", Homestead	Greater Geelong City	202 Matthews Road LEOPOLD, Greater Geelong City	144.4423093	-38.2213339
27998	"Laneway"	Greater Geelong City	"Laneway" Amundsen Street Belmont, Greater Geelong City	144.3394440	-38.1732590
19578	"Leeton" Residence	Greater Geelong City	57 Maud Street GEELONG, Greater Geelong City	144.3587800	-38.1546880
16240	"Lemea"	Greater Geelong City	19 Pleasant Street NEWTOWN, Greater Geelong City	144.3452880	-38.1514360
20029	"Leyton" and "Rochford" villas	Greater Geelong City	224 Moorabool Street GEELONG, Greater Geelong City	144.3583900	-38.1517800
20031	"Leyton" and "Rochford", villas including interior	Greater Geelong City	226 Moorabool Street GEELONG, Greater Geelong City	144.3583630	-38.1518370
27128	"Lezayre"	Greater Geelong City	126 Roslyn Road Belmont, Greater Geelong City	144.3323950	-38.1740050
26732	"Llanberris"	Greater Geelong City	30 Western Beach GEELONG, Greater Geelong City	144.3560063	-38.1390654
17531	"Lunan" house - Residence	Greater Geelong City	24 Lunan Avenue DRUMCONDRA, Greater Geelong City	144.3545460	-38.1287670
21703	"Lynnburn" Homestead and outbuildings	Greater Geelong City	600 Ballarat Road BATESFORD, Greater Geelong City	144.2852450	-38.0950170
28714	"Macintyre Foot Bridge"	Greater Geelong City	Over Barwon River Belmont, Greater Geelong City	144.3426660	-38.1755870
15881	"Mandalay"	Greater Geelong City	6 Mercer Parade NEWTOWN, Greater Geelong City	144.3439970	-38.1527570
21318	"Maxwelton" residence	Greater Geelong City	105 Hitchcock Avenue BARWON HEADS, Greater Geelong City	144.4923870	-38.2766440
21623	"Melaleuca", house including interior	Greater Geelong City	221 Matthews Road LEOPOLD, Greater Geelong City	144.4422440	-38.2229870
18809	"Merchiston Hall", house including interior	Greater Geelong City	2 Garden Street GEELONG EAST, Greater Geelong City	144.3740380	-38.1484530
26972	"Miller Homes" - Units	Greater Geelong City	7 (Units 1-12) Culbin Avenue Belmont, Greater Geelong City	144.3412960	-38.1696730
15372	"Milton"  Residence	Greater Geelong City	14 Aphrasia Street NEWTOWN, Greater Geelong City	144.3442220	-38.1507760
26523	"Monomeeth"	Greater Geelong City	33a Flinders Parade Barwon Heads, Greater Geelong City	144.4946890	-38.2797080
44247	"Moondara" - residence	Greater Geelong City	57 Seaview Avenue Barwon Heads, Greater Geelong City	144.4947220	-38.2753600
21797	"Morongo" Presbyterian Girls' School, original 1859 building including interior Nor Kardinia Int College	Greater Geelong City	205 Ballarat Road BELL POST HILL, Greater Geelong City	144.3263160	-38.1108980
21335	"Mount Pleasant"	Greater Geelong City	235 Mount Pleasant Road, HIGHTON, Greater Geelong City	144.3153966	-38.1673704
21705	"Narada"	Greater Geelong City	130 Mount Road ANAKIE, Greater Geelong City	144.2792140	-37.9180670
21655	"Nargoondy"	Greater Geelong City	462 Tower Road PORTARLINGTON, Greater Geelong City	144.6812654	-38.1281320
21289	"Newlands" Homestead, Residence	Greater Geelong City	670 Barrabool Road CERES, Greater Geelong City	144.2582890	-38.1717500
16567	"Newtown Brae"	Greater Geelong City	13 Stephen Street NEWTOWN, Greater Geelong City	144.3323300	-38.1484910
21726	"Osborne House"	Greater Geelong City	51 Swinburne Street NORTH GEELONG, Greater Geelong City	144.3579360	-38.1198190
15497	"Peppercorn Cottage" Residence	Greater Geelong City	305 Autumn Street NEWTOWN, Greater Geelong City	144.3284610	-38.1409550
26529	"Petriwil"	Greater Geelong City	75  Clarkes Road FYANSFORD, Greater Geelong City	144.2986752	-38.1376732
17151	"Pineville" Private Nursing Home	Greater Geelong City	2 Gertrude Street GEELONG WEST, Greater Geelong City	144.3467880	-38.1446670
21721	"Pirra", homestead including interior	Greater Geelong City	110 Windermere Road LARA, Greater Geelong City	144.4089220	-38.0096740
21344	"Prospect", homestead including interior	Greater Geelong City	50 Prospect Road CERES, Greater Geelong City	144.2816810	-38.1756530
27187	"Radstock"	Greater Geelong City	89 Shackleton Street Belmont, Greater Geelong City	144.3320440	-38.1723880
16298	"Raith"	Greater Geelong City	2 Raith Terrace NEWTOWN, Greater Geelong City	144.3235610	-38.1419340
16538	"Rannoch"	Greater Geelong City	50 Skene Street NEWTOWN, Greater Geelong City	144.3484950	-38.1479990
16425	"Redpath's Antiques"	Greater Geelong City	327 Shannon Avenue NEWTOWN, Greater Geelong City	144.3343520	-38.1502800
16335	"Riverdale"	Greater Geelong City	22 Riversdale Road NEWTOWN, Greater Geelong City	144.3398200	-38.1608810
